"measurement.ID","sites.sitename","plot.name","stand.age","dominant.life.form","dominant.veg","variable.name","date","start.date","end.date","mean","min.dbh","citation.ID","country","lat","lon","masl","mat","map","geographic.area","biogeog","Koeppen","FAO.ecozone","plot.area","year.establishment.oldest.trees","regrowth.hist.type","regrowth.year","dist.mrs.hist.type","dist.mrs.yr"
4129,"Dinghushan.Erythrophleum fordii community","Erythrophleum fordii community","999","woody","2TEB","biomass","NI","NI","NI",267.04084,"0","Yi_2000_baeo","China",23.18,112.53,200,21,1927,214,"IndoMalay","Cfa","Subtropical humid forest","NAC","NI","NI","NI","NI","NI"
4130,"Dinghushan.Erythrophleum fordii community","Erythrophleum fordii community","999","woody","2TEB","biomass_ag","NI","NI","NI",228.55348,"0","Yi_2000_baeo","China",23.18,112.53,200,21,1927,214,"IndoMalay","Cfa","Subtropical humid forest","NAC","NI","NI","NI","NI","NI"
4131,"Dinghushan.Erythrophleum fordii community","Erythrophleum fordii community","999","woody","2TEB","biomass_ag_woody","NI","NI","NI",216.46978,"0","Yi_2000_baeo","China",23.18,112.53,200,21,1927,214,"IndoMalay","Cfa","Subtropical humid forest","NAC","NI","NI","NI","NI","NI"
4132,"Dinghushan.Erythrophleum fordii community","Erythrophleum fordii community","999","woody","2TEB","biomass_ag_foliage","NI","NI","NI",12.0837,"0","Yi_2000_baeo","China",23.18,112.53,200,21,1927,214,"IndoMalay","Cfa","Subtropical humid forest","NAC","NI","NI","NI","NI","NI"
4133,"Dinghushan.Erythrophleum fordii community","Erythrophleum fordii community","999","woody","2TEB","biomass_root","NI","NI","NI",38.48736,"0","Yi_2000_baeo","China",23.18,112.53,200,21,1927,214,"IndoMalay","Cfa","Subtropical humid forest","NAC","NI","NI","NI","NI","NI"
4136,"Dinghushan.lowland","lowland evergreen broadleaved forest","999","woody","2TEB","biomass","1995.747945",NA,NA,187.3514,"0","Wen_1999_sobo","China",23.18,112.53,300,21,1927,214,"IndoMalay","Cfa","Subtropical humid forest","NAC","NI","NI","NI","NI","NI"
4137,"Dinghushan.lowland","lowland evergreen broadleaved forest","999","woody","2TEB","biomass_ag","1995.747945",NA,NA,152.6748,"1","Wen_1999_sobo","China",23.18,112.53,300,21,1927,214,"IndoMalay","Cfa","Subtropical humid forest","NAC","NI","NI","NI","NI","NI"
4138,"Dinghushan.lowland","lowland evergreen broadleaved forest","999","woody","2TEB","biomass_ag_woody","1995.747945",NA,NA,149.5493,"1","Wen_1999_sobo","China",23.18,112.53,300,21,1927,214,"IndoMalay","Cfa","Subtropical humid forest","NAC","NI","NI","NI","NI","NI"
4139,"Dinghushan.lowland","lowland evergreen broadleaved forest","999","woody","2TEB","biomass_ag_foliage","1995.747945",NA,NA,3.1255,"1","Wen_1999_sobo","China",23.18,112.53,300,21,1927,214,"IndoMalay","Cfa","Subtropical humid forest","NAC","NI","NI","NI","NI","NI"
4140,"Dinghushan.lowland","lowland evergreen broadleaved forest","999","woody","2TEB","biomass_root","1995.747945",NA,NA,33.4264,"NAC","Wen_1999_sobo","China",23.18,112.53,300,21,1927,214,"IndoMalay","Cfa","Subtropical humid forest","NAC","NI","NI","NI","NI","NI"
4142,"Dinghushan.mountain","mountain evergreen broadleaved forest","999","woody","2TEB","biomass","1995.747945",NA,NA,54.2192,"0","Wen_1999_sobo","China",23.18,112.53,700,21,1927,214,"IndoMalay","Cfa","Subtropical humid forest","NAC","NI","NI","NI","NI","NI"
4143,"Dinghushan.mountain","mountain evergreen broadleaved forest","999","woody","2TEB","biomass_ag","1995.747945",NA,NA,40.9229,"1","Wen_1999_sobo","China",23.18,112.53,700,21,1927,214,"IndoMalay","Cfa","Subtropical humid forest","NAC","NI","NI","NI","NI","NI"
4144,"Dinghushan.mountain","mountain evergreen broadleaved forest","999","woody","2TEB","biomass_ag_woody","1995.747945",NA,NA,38.6951,"1","Wen_1999_sobo","China",23.18,112.53,700,21,1927,214,"IndoMalay","Cfa","Subtropical humid forest","NAC","NI","NI","NI","NI","NI"
4145,"Dinghushan.mountain","mountain evergreen broadleaved forest","999","woody","2TEB","biomass_ag_foliage","1995.747945",NA,NA,2.2278,"1","Wen_1999_sobo","China",23.18,112.53,700,21,1927,214,"IndoMalay","Cfa","Subtropical humid forest","NAC","NI","NI","NI","NI","NI"
4146,"Dinghushan.mountain","mountain evergreen broadleaved forest","999","woody","2TEB","biomass_root","1995.747945",NA,NA,12.4738,"NAC","Wen_1999_sobo","China",23.18,112.53,700,21,1927,214,"IndoMalay","Cfa","Subtropical humid forest","NAC","NI","NI","NI","NI","NI"
4148,"Dinghushan.ravine","ravine evergreen broadleaved forest","999","woody","2TEB","biomass","1995.747945",NA,NA,153.6571,"0","Wen_1999_sobo","China",23.18,112.53,120,21,1927,214,"IndoMalay","Cfa","Subtropical humid forest","NAC","NI","NI","NI","NI","NI"
4149,"Dinghushan.ravine","ravine evergreen broadleaved forest","999","woody","2TEB","biomass_ag","1995.747945",NA,NA,125.3443,"1","Wen_1999_sobo","China",23.18,112.53,120,21,1927,214,"IndoMalay","Cfa","Subtropical humid forest","NAC","NI","NI","NI","NI","NI"
4150,"Dinghushan.ravine","ravine evergreen broadleaved forest","999","woody","2TEB","biomass_ag_woody","1995.747945",NA,NA,121.6031,"1","Wen_1999_sobo","China",23.18,112.53,120,21,1927,214,"IndoMalay","Cfa","Subtropical humid forest","NAC","NI","NI","NI","NI","NI"
4151,"Dinghushan.ravine","ravine evergreen broadleaved forest","999","woody","2TEB","biomass_ag_foliage","1995.747945",NA,NA,3.7412,"1","Wen_1999_sobo","China",23.18,112.53,120,21,1927,214,"IndoMalay","Cfa","Subtropical humid forest","NAC","NI","NI","NI","NI","NI"
4152,"Dinghushan.ravine","ravine evergreen broadleaved forest","999","woody","2TEB","biomass_root","1995.747945",NA,NA,27.6172,"NAC","Wen_1999_sobo","China",23.18,112.53,120,21,1927,214,"IndoMalay","Cfa","Subtropical humid forest","NAC","NI","NI","NI","NI","NI"
4162,"DJA-01_Dja Interior L1","african tropical forest","999","woody","2TEB","biomass_ag","2000",NA,NA,208.116,"NAC","Lewis_2009_icsi","Cameroon",3.33,12.87,590,23.3,1630,216,"Afrotropics","Aw","Tropical rainforest","2.25","NAC","NAC","NAC","NAC","NAC"
4163,"DJA-02_Dja Interior L2","african tropical forest","999","woody","2TEB","biomass_ag","2000",NA,NA,142.128,"NAC","Lewis_2009_icsi","Cameroon",3.32,12.87,590,23.3,1630,216,"Afrotropics","Aw","Tropical rainforest","2.5","NAC","NAC","NAC","NAC","NAC"
4164,"DJA-03_Dja Interior L3","african tropical forest","999","woody","2TEB","biomass_ag","1996",NA,NA,226.54,"NAC","Lewis_2009_icsi","Cameroon",3.3,12.87,570,23.3,1631,216,"Afrotropics","Aw","Tropical rainforest","2.5","NAC","NAC","NAC","NAC","NAC"
4165,"DJA-04_Dja Interior L4","african tropical forest","999","woody","2TEB","biomass_ag","1996",NA,NA,195.708,"NAC","Lewis_2009_icsi","Cameroon",3.28,12.87,610,23.3,1632,216,"Afrotropics","Aw","Tropical rainforest","2.5","NAC","NAC","NAC","NAC","NAC"
4166,"DJA-05_Dja L5 Mekas","african tropical forest","999","woody","2TEB","biomass_ag","2002",NA,NA,207.552,"NAC","Lewis_2009_icsi","Cameroon",3.15,12.57,640,23.6,1628,217,"Afrotropics","Aw","Tropical rainforest","1","NAC","NAC","NAC","NAC","NAC"
4167,"DJA-07_Dja L7 Alat-Makay Mixed","african tropical forest","999","woody","2TEB","biomass_ag","2002",NA,NA,197.212,"NAC","Lewis_2009_icsi","Cameroon",2.85,13.33,550,23.7,1617,218,"Afrotropics","Aw","Tropical rainforest","0.5","NAC","NAC","NAC","NAC","NAC"
4168,"DJA-09_Dja L9 Djomedjoh","african tropical forest","999","woody","2TEB","biomass_ag","2002",NA,NA,244.776,"NAC","Lewis_2009_icsi","Cameroon",3.08,13.58,660,23.3,1631,219,"Afrotropics","Aw","Tropical rainforest","1","NAC","NAC","NAC","NAC","NAC"
4169,"DJA-17_Dja L7 Alat-Makay Mono-dominant","african tropical forest","999","woody","2TEB","biomass_ag","2002",NA,NA,362.8588,"NAC","Lewis_2009_icsi","Cameroon",2.85,13.33,570,23.7,1617,218,"Afrotropics","Aw","Tropical rainforest","0.2","NAC","NAC","NAC","NAC","NAC"
4170,"DJK-01_Dja Somolomo","african tropical forest","999","woody","2TEB","biomass_ag","2007",NA,NA,249.57,"NAC","Lewis_2009_icsi","Cameroon",3.33,12.72,647,23.5,1623,216,"Afrotropics","Aw","Tropical rainforest","1","NAC","NAC","NAC","NAC","NAC"
4171,"DJK-02_Dja Somolomo","african tropical forest","999","woody","2TEB","biomass_ag","2007",NA,NA,177.096,"NAC","Lewis_2009_icsi","Cameroon",3.33,12.72,722,23.6,1622,216,"Afrotropics","Aw","Tropical rainforest","1","NAC","NAC","NAC","NAC","NAC"
4172,"DJK-03_Dja Somolomo","african tropical forest","999","woody","2TEB","biomass_ag","2007",NA,NA,252.296,"NAC","Lewis_2009_icsi","Cameroon",3.36,12.72,639,23.6,1621,216,"Afrotropics","Aw","Tropical rainforest","1","NAC","NAC","NAC","NAC","NAC"
