siteID,sites.sitename,city,state,country,lat,lon,masl,geography.notes,mat,min.temp,max.temp,map,climate.notes,soil.texture,soil.classification,soilnotes,hydrology.notes,sitenotes,siteref,area,biogeog,Koeppen,FAOecozone,siteID.v1,tropical_extratropical,indicates.site.that.lacks.info.direct.from.pub,loaded_from,loaded_by
1913,Wildfire-regenerating Jack Pine Chronosequence 12,NAC,Michigan,United States of America,44.717,-84.483,NAC,NA,6.3,NAC,NAC,690,NA,sand,Entisol,"Acidic, excessively drained, poorly developed sands of the Grayling series (Isotic, frigid Typic Udipsamments).",NA,NA,NA,199,Nearctic,Dfb,Temperate continental forest,NA,extratropical,,,
1914,Wildfire-regenerating Jack Pine Chronosequence 14,NAC,Michigan,United States of America,44.45,-84.267,NAC,NA,6.3,NAC,NAC,690,NA,sand,Entisol,"Acidic, excessively drained, poorly developed sands of the Grayling series (Isotic, frigid Typic Udipsamments).",NA,NA,NA,199,Nearctic,Dfb,Temperate continental forest,NA,extratropical,,,
1915,Wildfire-regenerating Jack Pine Chronosequence 2,NAC,Michigan,United States of America,44.6,-84,NAC,NA,6.3,NAC,NAC,690,NA,sand,Entisol,"Acidic, excessively drained, poorly developed sands of the Grayling series (Isotic, frigid Typic Udipsamments).",NA,NA,NA,199,Nearctic,Dfb,Temperate continental forest,NA,extratropical,,,
1916,Wildfire-regenerating Jack Pine Chronosequence 22,NAC,Michigan,United States of America,44.6,-84.05,NAC,NA,6.3,NAC,NAC,690,NA,sand,Entisol,"Acidic, excessively drained, poorly developed sands of the Grayling series (Isotic, frigid Typic Udipsamments).",NA,NA,NA,199,Nearctic,Dfb,Temperate continental forest,NA,extratropical,,,
1917,Wildfire-regenerating Jack Pine Chronosequence 27,NAC,Michigan,United States of America,44.717,-84.417,NAC,NA,6.3,NAC,NAC,690,NA,sand,Entisol,"Acidic, excessively drained, poorly developed sands of the Grayling series (Isotic, frigid Typic Udipsamments).",NA,NA,NA,199,Nearctic,Dfb,Temperate continental forest,NA,extratropical,,,
1918,Wildfire-regenerating Jack Pine Chronosequence 36,NAC,Michigan,United States of America,44.433,-84.233,NAC,NA,6.3,NAC,NAC,690,NA,sand,Entisol,"Acidic, excessively drained, poorly developed sands of the Grayling series (Isotic, frigid Typic Udipsamments).",NA,NA,NA,199,Nearctic,Dfb,Temperate continental forest,NA,extratropical,,,
1919,Wildfire-regenerating Jack Pine Chronosequence 4,NAC,Michigan,United States of America,44.47,-84.3,NAC,NA,6.3,NAC,NAC,690,NA,sand,Entisol,"Acidic, excessively drained, poorly developed sands of the Grayling series (Isotic, frigid Typic Udipsamments).",NA,NA,NA,199,Nearctic,Dfb,Temperate continental forest,NA,extratropical,,,
1920,Wildfire-regenerating Jack Pine Chronosequence 52,NAC,Michigan,United States of America,44.55,-84.35,NAC,NA,6.3,NAC,NAC,690,NA,sand,Entisol,"Acidic, excessively drained, poorly developed sands of the Grayling series (Isotic, frigid Typic Udipsamments).",NA,NA,NA,199,Nearctic,Dfb,Temperate continental forest,NA,extratropical,,,
1921,Wildfire-regenerating Jack Pine Chronosequence 7,NAC,Michigan,United States of America,44.5,-84.3,NAC,NA,6.3,NAC,NAC,690,NA,sand,Entisol,"Acidic, excessively drained, poorly developed sands of the Grayling series (Isotic, frigid Typic Udipsamments).",NA,NA,NA,199,Nearctic,Dfb,Temperate continental forest,NA,extratropical,,,
1922,Wildfire-regenerating Jack Pine Chronosequence 72,NAC,Michigan,United States of America,44.57,-84.4,NAC,NA,6.3,NAC,NAC,690,NA,sand,Entisol,"Acidic, excessively drained, poorly developed sands of the Grayling series (Isotic, frigid Typic Udipsamments).",NA,NA,NA,199,Nearctic,Dfb,Temperate continental forest,NA,extratropical,,,
