"","site.ID","sites.sitename","network","alt.names","super.site","city","state","country","lat","lon","coordinates.precision","masl","geography.notes","mat","min.temp","max.temp","map","climate.notes","soil.texture","sand","silt","clay","soil.classification","soil.notes","hydrology.notes","site.notes","geographic.area","continent","biogeog","Koeppen","FAO.ecozone","site.ID.v1","measurement.refs","site.ref","ref.notes","lacks.info.from.ori.pub","loaded.from","loaded.by","potential_duplicate_group","potential_duplicate_group_parsed","confirmed.unique","potential_duplicate_group_manual","duplicate.notes","optional","WC_MAT","WC_MAP","WC_warmest","WC_coldest","climate.data.suspect"
"575",583,"Entre-Rios E. grandis x urophylla stand 5",NA,NA,NA,"Entre-Rios","Bahia","Brazil",-11.816667,-38.366667,"NAC","220",NA,25.5,20.9,30,902,NA,"sandy","NAC","NAC","NAC","Ultisol","Ultisol","NAC",NA,236,"South America","Neotropics","As","Tropical dry forest","304","Stape_2004_epat",NA,NA,NA,NA,NA,0,"0",NA,"0",NA,TRUE,23.3250007629395,984,25,20.7999992370605,NA
"576",584,"Entre-Rios E. grandis x urophylla stand 6",NA,NA,NA,"Entre-Rios","Bahia","Brazil",-11.966667,-38.55,"NAC","300",NA,25.5,20.9,30,955,NA,"sandy","NAC","NAC","NAC","Entisol","Quartzipsamment","NAC",NA,236,"South America","Neotropics","Aw","Tropical dry forest","309","Stape_2004_epat",NA,NA,NA,NA,NA,0,"0",NA,"0",NA,TRUE,22.8833332061768,1027,24.5,20.3999996185303,NA
"577",585,"Entre-Rios E. grandis x urophylla stand 7",NA,NA,NA,"Entre-Rios","Bahia","Brazil",-11.783333,-37.9,"NAC","150",NA,25.5,20.9,30,1143,NA,"sandy","NAC","NAC","NAC","Ultisol","Ultisol","NAC",NA,239,"South America","Neotropics","Am","Tropical rainforest","302","Stape_2004_epat",NA,NA,NA,NA,NA,0,"0",NA,"0",NA,TRUE,23.7083339691162,1446,25.3999996185303,21.3999996185303,NA
"578",586,"Entre-Rios E. grandis x urophylla stand 8",NA,NA,NA,"Entre-Rios","Bahia","Brazil",-12.03333,-38.466667,"NAC","310",NA,25.5,20.9,30,958,NA,"sandy","NAC","NAC","NAC","Ultisol","Ultisol","NAC",NA,236,"South America","Neotropics","Af","Tropical rainforest","311","Stape_2004_epat",NA,NA,NA,NA,NA,0,"0",NA,"0",NA,TRUE,22.8125,1126,24.5,20.2999992370605,NA
"579",587,"Entre-Rios E. grandis x urophylla stand 9",NA,NA,NA,"Entre-Rios","Bahia","Brazil",-12.083333,-38.25,"NAC","180",NA,25.5,20.9,30,1008,NA,"sandy","NAC","NAC","NAC","Entisol","Quartzipsamment","NAC",NA,236,"South America","Neotropics","Af","Tropical rainforest","312","Stape_2004_epat",NA,NA,NA,NA,NA,0,"0",NA,"0",NA,TRUE,23.8291664123535,1389,25.5,21.3999996185303,NA
"580",588,"Erastvere",NA,NA,NA,"NAC","Gulbene","Estonia",57.13,26.93,"NAC","NAC",NA,5.4,NA,NA,675,NA,"sandy loam","NAC","NAC","NAC","Albeluvisol","Albeluvisol",NA,"GROA site.id #2043",240,"Europe","Palearctic","Dfb","Temperate continental forest",NA,"Uri_2012_bpac; Varik_2015_cbif",NA,NA,NA,NA,NA,0,"0",NA,"0",NA,TRUE,5.76249980926514,674,16.7999992370605,-4.69999980926514,NA
"581",589,"Espirra",NA,NA,NA,"NAC","Evora","Portugal",38.64,-8.6,"NAC","95",NA,15.66,NA,NA,606.67,NA,"loam","NAC","NAC","NAC","Dystric Cambisol","soil class from Granier2007",NA,NA,241,"Europe","Palearctic","Csa","Subtropical dry forest",NA,"CarboEurope-IP_2006_cd; Mateus_2006_seoe; Pereira_2003_fcbi; Pereira_2007_nece; Rodrigues_2011_eyoc","CarboEurope-IP_2006_cd; Granier_2007_efsw",NA,1,"Luyssaert_2007_cbob","Maria",149,"1",NA,"139",NA,TRUE,16.4125003814697,683,22.7000007629395,10.5,NA
"582",590,"Eucalyptus globulus and Acacia mearnsii plantation",NA,NA,NA,"Cann River","Victoria","Australia",-37.5667,149.15,"NAC","NAC",NA,NA,NA,NA,1009,NA,"NAC","NAC","NAC","NAC","NAC",NA,NA,NA,242,"Australia","Australasia","Cfb","Temperate oceanic forest",NA,"Forrester_2006_caia",NA,NA,NA,"Anderson_2006_toba",NA,0,"0",NA,"0",NA,TRUE,14.7708330154419,981,20.1000003814697,9.39999961853027,NA
"583",591,"Eucalyptus saligna plantation",NA,NA,NA,"Pepeekeo","Hawaii","United States of America",19.8411,-155.1245,"NAC","350",NA,21,NA,NA,4000,NA,"NAC","NAC","NAC","NAC","NAC",NA,"NAC",NA,243,"Oceania","Oceania","Cfb","Tropical mountain system","432","Ryan_2004_aeto",NA,NA,NA,NA,NA,150,"1;2;3",NA,"140",NA,TRUE,21.7041664123535,2169,23.1000003814697,20.3999996185303,NA
"584",592,"Even-aged mountain maple chronosequence",NA,NA,NA,"NAC","New Brunswick","Canada",47.25,-66.75,"NAC","NAC",NA,3.64,NA,NA,926,NA,"silty clay loam","NAC","NAC","NAC","NAC",NA,NA,NA,244,"North America","Nearctic","Dfb","Temperate continental forest",NA,"Post_1970_dpom",NA,NA,NA,"Anderson_2006_toba",NA,0,"0",NA,"0",NA,TRUE,1.83750009536743,1153,16.3999996185303,-14.3000001907349,NA
"585",593,"Fagne de Chimay",NA,NA,NA,"NAC","Hainaut","Belgium",50.1,4.25,"NAC","NI",NA,8.4,NA,NA,1000,NA,"loam","NAC","NAC","NAC","NAC",NA,NA,NA,245,"Europe","Palearctic","Cfb","Temperate oceanic forest",NA,"Thierron_1996_corr","Thierron_1996_corr",NA,1,"Luyssaert_2007_cbob","Maria",0,"0",NA,"0",NA,TRUE,9.1875,856,16.7999992370605,2.09999990463257,NA
"586",594,"Fairbanks",NA,NA,NA,"NAC","Alaska","United States of America",64.87,-147.85,"NAC","NAC",NA,-1.4,NA,NA,270.6,NA,"NAC","NAC","NAC","NAC","NAC",NA,NA,NA,12,"North America","Nearctic","Dfc","Boreal tundra woodland",NA,"Grogan_1999_asre; Yu_2014_hcdu",NA,NA,NA,"Yu_2014_hcdu","Maria",151,"1",NA,"141",NA,TRUE,-2.8125,302,16.1000003814697,-22,NA
"587",595,"Fazenda Cauaxi",NA,NA,NA,"Paragominas","Para","Brazil",-3.73,-48.29,"NAC","NAC",NA,NA,NA,NA,2200,NA,"NAC","NAC","NAC","NAC","Dystrophic yellow latosols",NA,"NAC","tropical dense moist forest",246,"South America","Neotropics","Am","Tropical rainforest","1401","Keller_2004_cwdi","Keller_2004_cwdi",NA,NA,"Chao_2009_atdq; Liu_2014_htpa",NA,0,"0",NA,"0",NA,TRUE,26.0583324432373,1977,26.7000007629395,25.3999996185303,NA
"588",596,"Fazenda Vitoria",NA,NA,NA,"Paragominas","Para","Brazil",-2.983,-47.533,"NAC","NAC",NA,25.95,NA,NA,1800,NA,"clay","NAC","NAC","NAC","Latosol","Kaolinitic Yellow Latosols.","NAC","GROA site.id #286",247,"South America","Neotropics","Am","Tropical rainforest","92","Davidson_2000_eosw; Davidson_2004_napl; de Camargo_1999_scdi; Markewitz_2004_nlar; Siddique_2010_napa",NA,NA,NA,NA,NA,152,"1",NA,"142",NA,TRUE,25.9333343505859,1989,26.7000007629395,25.2999992370605,NA
"589",597,"Fazenda Vitoria 2",NA,NA,NA,"Paragominas","Para","Brazil",-2.916667,-47.566667,"NAC","NAC",NA,NA,NA,NA,1750,"dry season july-december","NAC","NAC","NAC","NAC","NAC",NA,"NAC",NA,247,"South America","Neotropics","Am","Tropical rainforest","1403","Uhl_1990_dfsa",NA,NA,NA,"Chao_2009_atdq",NA,0,"0",NA,"0",NA,TRUE,25.9249992370605,1995,26.6000003814697,25.3999996185303,NA
"590",598,"Feng and Yang (1985)",NA,NA,NA,"NAC","Inner Mongol","China",50.8,121.5,"NAC","NAC",NA,-5,NA,NA,437,NA,"NAC","NAC","NAC","NAC","NAC",NA,NA,NA,205,"Asia","Palearctic","Dwc","Boreal coniferous forest",NA,"Zhou_2002_eban",NA,"Liu_2014_htpa",NA,"Liu_2014_htpa","Maria",0,"0",NA,"0",NA,TRUE,-4.37916660308838,482,16.3999996185303,-28.2000007629395,NA
"591",599,"Finca Los Murcielagos",NA,NA,NA,"Lake Izabal","Izabal","Guatemala",15.583333,-89.15,"NAC","55",NA,25.2,18.8,33.3,2004,NA,"clay","NAC","NAC","NAC","Oxisol; Inceptisol","Paralleling the northern perimeter of the lake is a late Paleozoic and early Mesozoic serpentine block. An alluvial delta forms a large portion of Finca Los Murcielagos. In addition to terrestrial alluviums, Simmons, Tarano and Pinto (1959) have classified two soil series which are present at lower elevations along the north lake shoreline. The Sebach series, dark-brown clays, and the Guaipol series, red-brown clays, are developed wholly or in part on serpentine material. Most of the upland soils at Finca Los Murcielagos are Oxisols, with hydromorphic forms, and Inceptisols. Black-to-yellowish-brown clays derived from limestone, serpentine and other transported materials. Other soils are sand and gravel.","NAC",NA,248,"North America","Neotropics","Am","Tropical rainforest","333","Snedaker_1970_esot",NA,NA,NA,"Anderson_2006_toba",NA,0,"0",NA,"0",NA,TRUE,26.625,2767,28.2999992370605,24.2000007629395,NA
